Program/Initiative,Year,Title,Artist,Partner,Site Location,Borough,Site Type,Project Type,Latitude,Longitude,Installation,Removal
Arterventions,2013,Five Elements,Xin Song,Garment District Alliance,Broadway btwn 36th St. & 41st St.,Manhattan,Plaza,Sculpture,40.751699,-73.987594,06/01/2012,08/01/2013
Barrier Beautification,2012,The Heart's Best Feelings Gather Home,Cara Lynch,"New York Cares, NYC Mayor's Community Affairs Unit",Flushing Ave. btwn Williamsburg St. W & Washington Ave.,Brooklyn,Barrier,Mural,40.697714,-73.965037,10/13/2012,10/13/2013
Barrier Beautification,2012,Perpetual Nature,Deanna Lee,"New York Cares, NYC Mayor's Community Affairs Unit",Flushing Bay Promenade btwn Harper St. & Northern Blvd. Bridge,Queens,Barrier,Mural,40.763939,-73.841072,10/13/2012,10/13/2013
Community Commissions,2012,Color and Collaboration: A Fibonacci Series,Ruth Lande Shuman,Publicolor,49th Ave. btwn 21st St. & Skillman Ave.,Queens,Bridge Wall,Mural,40.74215,-73.947364,09/29/2012,08/29/2013
Arterventions,2012,Explore Your Neighborhood by Bike,Pasqualina Azzarello,Local Spokes,Allen St. & FDR Dr.,Manhattan,Pedestrian Street Light Pole,Signage,40.717374,-73.991291,09/14/2012,08/09/2013
Arterventions,2012,Vortex,Saint Clair Cemin,Paul Kasmin Gallery and Departmenr of Parks and Rec.,Broadway btwn 57th St. & 58th St.,Manhattan,Plaza,Sculpture,40.766288,-73.981878,09/06/2012,11/25/2012
Community Commissions,2012,The Bridge & The Devil,Steed Taylor,Visual AIDS,Naples Terrace btwn Goodwin Terrace & Broadway,Bronx,Step Street,Mural,40.879466,-73.904485,09/05/2012,08/05/2013
Arterventions,2012,Brooklyn Shelf Life,Various artists,Brooklyn Academy of Music and Showpaper,Layfayette Ave. & Ashland Pl.,Brooklyn,Sidewalk,Sculpture,40.686718,-73.978138,08/28/2012,07/30/2013
Arterventions,2012,Superheroes,Sam Brazilay,Dumbo BID and United Photos Industries,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Fence,Vinyl,40.703161,-73.987882,08/08/2012,09/20/2014
Arterventions,2012,Broadway Green,Patricia Leighton and Del Geist,Garment District Alliance,Broadway btwn 36th St. & 41st St.,Manhattan,Plaza,Sculpture,40.751699,-73.987594,07/09/2012,08/31/2012
Arterventions,2012,Homage to the Classic,dEmo and Missoni,RogerSmithArts (Roger Smith Hotel),"Gaslight Plaza, 14th St. & 9th Ave.",Manhattan,Plaza,Sculpture,40.740846,-74.005292,06/30/2012,09/10/2012
Arterventions,2012,PST,David Ellis,Two Trees Management Co.,Pearl Street Triangle on Pearl Street between Water Street and Front Street,Brooklyn,Triangle,Asphalt Mural,40.702992,-73.987702,06/11/2012,05/11/2013
Arterventions,2012,Pod,Pedro Villalta and Montserret Daubon,MMPCIA,Lenox Ave. (Malcom X Blvd.) & 124th St.,Manhattan,Median,Sculpture,40.807049,-73.945823,06/09/2012,05/09/2013
Special Projects,2012,Art Display Case (Prototype),Architecture Research Office,Architecture Research Office,Hudson st. btwn Chambers St. & Reade St.,Manhattan,Sidewalk,Art Display Cases,40.71588,-74.009283,05/16/2012,06/18/2012
Arterventions,2012,Reflecting Forward (Civic Action: A Vision for Long Island City),Mary Miss Studio,Socrates Sculpture Park and The Noguchi Museum,Vernon between 31st Drive and Broadway,Queens,Pedestrian Street Light Pole,Sculpture,40.768595,-73.936998,05/09/2012,04/09/2013
Community Commissions,2012,Humps and Bumps,BroLab,Jamaica Center for Arts & Learning,Archer Ave. btwn 153rd St. & 158th St.,Queens,Sidewalk,Sculpture,40.701938,-73.802105,05/03/2012,04/03/2013
Special Projects,2012,Art Display Case (Prototype),Architecture Research Office,Architecture Research Office,Water St. & Whitehall St.,Manhattan,Sidewalk,Art Display Cases,40.702414,-74.012782,05/01/2012,05/01/2013
Barrier Beautification,2012,A Longing for Spring,Carla Torres,"New York Cares, NYC Mayor's Community Affairs Unit",West St. S btwn N Moore St. & Laight St.,Manhattan,Barrier,Mural,40.721371,-74.012193,04/21/2012,03/21/2013
Barrier Beautification,2012,April Ground,Marcie Paper,"New York Cares, NYC Mayor's Community Affairs Unit",Tillary St. btwn Adams St. & Cadman Plaza West,Brooklyn,Barrier,Mural,40.696269,-73.99005,04/21/2012,03/21/2013
Barrier Beautification,2012,Fictional Landscape,Abby Goldstein,"New York Cares, NYC Mayor's Community Affairs Unit",Jay St. & Sands St,Brooklyn,Barrier,Mural,40.700268,-73.986371,04/21/2012,03/21/2013
Barrier Beautification,2012,A Silence Already Filled with Noises,Sam Holleran,"New York Cares, NYC Mayor's Community Affairs Unit",Columbia St. btwn Atlantic Ave. & Congress St.,Brooklyn,Barrier,Mural,40.690528,-74.000096,04/21/2012,03/21/2013
