Program/Initiative,Year,Title,Artist,Partner,Site Location,Borough,Site Type,Project Type,Latitude,Longitude,Installation,Removal
Special Projects,2009,Staten Island Mural,Abby Goldstein and Michael Koehler,Staten Island Borough President's Office,St. George Ferry Terminal,Staten Island,Fence,Intervention,40.644174,-74.07255,10/15/2009,09/15/2010
Arterventions,2009,Bright Nights,Various artists,Random Numbers LLC,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Bridge Archway,Projection,40.703161,-73.987882,10/07/2009,10/07/2009
Arterventions,2009,R-O-B/Structural Oscillations,Gramazio & Kohler,Hester Street Collaborative,Pike St. btwn Division St. & E Broadway,Manhattan,Plaza,Sculpture,40.714129,-73.992651,10/01/2009,10/02/2010
Community Commissions,2009,A Collection of Local Memories,"Gabriel ""Specter"" Reese",International Studio and Curatorial Program,Ocean Ave. & Parkside Ave.,Brooklyn,Sidewalk,Sculpture,40.654946,-73.962011,09/23/2009,08/23/2010
Arterventions,2009,Making History Matter,LaPlaca Cohen,New-York Historical Society,Astor Place Plaza on E 8th Street between Cooper Square and Lafayette Street,Manhattan,Plaza,Sculpture,40.729885,-73.991135,08/08/2009,08/25/2009
Community Commissions,2009,Welcomed Guests,Atom Cianfarani,Lower East Side Ecology Center,Columbia St. & Halleck St.,Brooklyn,Asphalt,Sculpture,40.671833,-74.008441,08/06/2009,07/06/2010
Community Commissions,2009,Aurora,Diego Medina,Bronx River Art Center,E Tremont Ave. & Boston Rd.,Bronx,Plaza,Sculpture,40.840116,-73.880239,07/16/2009,06/16/2010
Arterventions,2009,Aberrant Sidewalk,Kathryne Hall,Flux Factory,Grand Army Plaza at Flatbush Avenue and Eastern Parkway,Brooklyn,Plaza,Sculpture,40.674668,-73.970263,07/11/2009,07/25/2009
Arterventions,2009,Horsing Around the Arrows of Time,Eleanora Kupencow,DUMBO BID,Pearl Street Triangle on Pearl Street between Water Street and Front Street,Brooklyn,Triangle,Sculpture,40.702992,-73.987702,07/01/2009,06/01/2010
Arterventions,2009,Paint and Pavement,Ellie Balk,Liveable Streets Education,51 Edwards St.,Brooklyn,Asphalt,Asphalt Mural,40.695034,-73.978093,06/16/2009,05/16/2010
Arterventions,2009,Fanfare,Naomi Goldberg Haas,Lower Manhattan Cultural Council,Whitehall Ferry Terminal,Manhattan,Ferry Terminal,Performance,40.701095,-74.013012,06/15/2009,06/27/2009
Arterventions,2009,100 Degrees,Hector Canonge and Chin Chih Yang,Queens Council on the Arts,34rth St. btwn Queens Blvd. N & Queens Blvd. S,Queens,Sidewalk,Sculpture,40.744581,-73.930764,06/06/2009,06/27/2009
Community Commissions,2009,Urban Garden,Pasqualina Azzarello,Recycle-a-Bicycle,Queens Plaza S. & Vernon Blvd.,Queens,Fence,Sculpture,40.75434,-73.949355,06/04/2009,05/04/2010
Arterventions,2009,Hope,Robert Indiana,Times Square Alliance,1514 Broadway,Manhattan,Plaza,Sculpture,40.757472,-73.985774,06/03/2009,06/11/2009
Community Commissions,2009,Worker Bees,Clare Herron and Chris Beck,Groundswell Community Mural Project and Downtown Brooklyn Alliance,Tillary St. btwn Adams St. & Cadman Plaza West,Brooklyn,Barrier,Mural,40.696269,-73.99005,05/16/2009,04/16/2010
Arterventions,2009,69 Meters,Magda Sayeg,Montague BID,Montague Street between Court Street and Hicks Street,Brooklyn,Parking Meters,Intervention,40.694806,-73.99436,05/13/2009,06/14/2009
Arterventions,2009,Spacebuster,Ramboular,Storefront for Art and Architecture,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Bridge Archway,Sculpture,40.703161,-73.987882,04/16/2009,04/26/2009
Arterventions,2008,Hallelujah Harlem Public Art Fest,Julio Valdez,West Harlem Arts Fund,125th St. & 12th Ave.,Manhattan,Viaduct,Intervention,40.81801,-73.960404,11/09/2008,11/10/2008
Special Projects,2008,Compass Design Exploration Project,"FIT, NYU, Pratt, Fordham University",Center for Architecture,Various sites citywide,Manhattan/Queens/Brooklyn/Bronx,Sidewalk,Intervention,40.759619,-73.830135,11/01/2008,10/01/2009
Arterventions,2008,Sleeping Monster,Nicola Verlato,MORE Art,W 14th St. & 9th Ave.,Manhattan,Plaza,Sculpture,40.74093,-74.005424,10/02/2008,11/03/2008
Community Commissions,2008,New York is a Rollercoaster,Belle Benfield and Chris Beck,Community Affairs Unit,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Tunnel,Mural,40.856493,-73.93273,08/22/2008,07/22/2009
Community Commissions,2008,31st Street Barrier Art,FIT Students of Urban Sound Studio,34th Street Partnership,W 31st St. btwn 9th Ave. & Dyer Ave.,Manhattan,Barrier,Mural,40.75187,-73.99859,08/01/2008,07/01/2010
Arterventions,2008,MTA Music Under New York,Various musicians,MTA MUNY,St. George and Whitehall Ferry Terminals,Staten Island,Ferry Terminal,Interactive,40.644174,-74.07255,07/01/2008,
Arterventions,2008,24 Foot Fly's Eye Dome,Buckminster Fuller,The Center for Architecture and Max Protech Gallery,LaGuardia Place btwn W 3rd St. & Bleeker St.,Manhattan,Sidewalk,Sculpture,40.7281,-73.998973,06/20/2008,07/21/2008
Barrier Beautification,2008,Wave Pattern Design,Grey Worldwide,City Year,W 155th & Harlem River Dr.,Manhattan,Barrier,Mural,40.83039,-73.940049,06/03/2008,05/03/2009
Community Commissions,2008,Nature Matching Systems,Tattfoo Tan,DUMBO BID,Front St. btwn Adams St. & Pearl St.,Brooklyn,Fence,Intervention,40.702469,-73.987982,02/25/2008,01/25/2009
Arterventions,2020,Sonic Constellation,Camila Morales and Dominka Ksel,Rockaway Waterfront Alliance d/b/a RISE: Rockaway Initiative for Sustainability & Equity,Rockaway Freeway between Beach 60th Street and Beach 61st Street,Queens,Asphalt Pedestrian Space,Sculpture,40.5924689827432,-73.7889694840271,10/17/2020,
Art Partners,2025,The Avenue,Marissa Molina,Thrive Collective and the Atlantic Ave BID,BQE Overpass North Wall at Atlantic Ave and Columbia Street,Brooklyn,Bridge Wall,Mural,,-73.999307,05/23/2025,04/23/2026
Community Commissions,2025,Bee Present,Mon Iker,Long Island City Partnersip,42-00 Vernon Boulevard,Queens,Corrugated Fence,Mural,40.7545058,73.949038,10/20/2025,
Arterventions,2024,"New Start, New Hope",Xin Song,Garment District Alliance,Broadway between 36th Street to 39th Street,Manhattan,Plaza,Lighting Intervention,40.7515802975113,-73.9876505067639,05/01/2024,04/01/2025
Asphalt Art Activations,2019,Loose Weave,Nick Kuszyk,NYC DOT,Nassau Street between Fulton Street and John Street,Manhattan,Seasonal Street,Asphalt Mural,40.71035886532,-74.0077406953786,11/29/2019,12/31/2019
Arterventions,2023,Paddy Irishman,Ross O'Callaghan,New York Irish Center + Grand Central Partnership,Pershing Square Plaza West on Park Avenue between E 41st Street and E 42nd Street,Manhattan,Plaza,Sculpture,40.7518491361029,-73.9777741093818,03/15/2023,03/22/2023
Arterventions,2024,was this the face,Emily and Jamie Erekson,DUMBO BID,Manhattan Bridge Anchorage at Adams Street,Brooklyn,Bridge Wall,Projection,40.7030316036708,-73.9877219196519,10/10/2024,10/13/2024
Arterventions,2024,Audubon Ave Community Street Mural,Mildor Chevalier,StreetLab,Audubon Ave between 165th and 166th Streets,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.8387682053279,-73.9396385211318,10/01/2024,
Art Display Case Exhibits,2021,I Still Believe in This City,Amanda Phingbodhipakkiya,NYC Commissions on Human Rights,Water Street between Wall Street and Pearl Street and Gouverneur Lane between Water Street and Front Street,Manhattan,Sidewalk,Art Display Cases,40.7052656095096,-74.0074316836142,,
Asphalt Art Activations,2022,Bird's Eye View,Mary Carter Talb,NYC DOT School Safety,165th Street and Rogers Place,Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.8238901363322,-73.8973038988669,,
Arterventions,2024,Bronx River Sanctuary,Natalie Wood,Youth Ministries for Peace and Justice,Pedestrian space beneath the Bruckner Expressway on Bronx River,Bronx,Plaza,Sculpture,40.8231717708417,-73.882780435262,07/14/2024,02/14/2025
Art Partners,2025,New York Proud,Oscar B. Castillo,Photoville,"St. George Ferry Terminal, 1 Bay Street",Staten Island,Ferry Terminal,Vinyl,40.6441347311293,-74.0725408795384,05/06/2025,07/03/2025
Community Commissions,2025,About a Living Culture,Sneha Shrestha aka Imagine,Rubin Museum of Himalayan Art,Triangle at Diversity Plaza,Queens,Plaza,Sculpture,40.7470113,-73.8922456,09/04/2025,11/04/2025
Special Projects,2023,191st Street Tunnel Beautification Project,Denise Coke,NYC DOT,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Tunnel,Mural,40.8565738222174,-73.9325673501386,09/23/2023,08/23/2024
Community Commissions,2020,Boulevard of African Monarchs,Kenseth Armstead,Marcus Garvey Park Alliance,116th Street and Adam Clayton Powell Blvd/St. Nicholas Avenue,Manhattan,Asphalt Pedestrian Space,Sculpture,40.8034491833841,-73.9525551716763,08/13/2020,07/13/2021
Arterventions,2020,Impulse,Lateral Office and CS Design,Garment District Alliance,"Garment District Plaza, Broadway, 37th- 38th Streets- Seasonal Street Closure",Manhattan,Plaza,Interactive Sculpture,40.7523090526084,-73.9873846679085,01/03/2020,02/03/2020
Arterventions,2021,Social Block,Joshua Callaghan,Night Gallery,Flatiron Plaza South on Broadway between 22nd Street and 23rd Street,Manhattan,Plaza,Sculpture,40.7412285514164,-73.9893911780987,09/03/2021,
Art Display Case Exhibits,2022,Harlem is … Healing,Clara Schwadron,New Heritage Theatre Group,St. Nicholas Avenue between W 120th Street and W 121 Street,Manhattan,Sidewalk,Art Display Cases,40.8068591170923,-73.9528262791772,08/10/2022,12/17/2022
Arterventions,2022,Downtown Brooklyn Asphalt Art,CEKIS,Downtown Brooklyn Partnership,Willoughby Shared Street,Brooklyn,Asphalt Pedestrian Space,Asphalt Mural,40.6919703418907,-73.988281438608,,
Arterventions,2024,Light Lane,LeMonde Studio,Downtown Jamaica Partnership,"165th Street between Jamaica Avenue and 89th Avenue, Jamaica Avenue between 160th Street and Union Hall Street, Parsons Boulevard between Jamaica Avenue and Archer Avenue, and Sutphin Boulevard between 89th and 90th Avenues",Queens,Sidewalk,interactive installation,40.7056576074828,-73.7949129221524,01/03/2024,03/15/2024
Arterventions,2021,Bombora House,Tom Fruin,Meatpacking BID,Gansevoort Plaza at Gansevoort Street and Ninth Avenue,Manhattan,Plaza,Sculpture,40.7396955228783,-74.0061728207554,12/15/2020,03/15/2020
Arterventions,2021,Ingersoll Peace Bridge,Vincent Ballentine,Center for Court Innovation,Fleet Walk Pedestrian Bridge over Navy Street between Myrtle Avenue and Tillery Street,Brooklyn,Bridge,Mural,40.693619581371,-73.9792139930084,06/05/2021,05/05/2022
Arterventions,2023,Holiday projections,Various Artists,DUMBO BID,"BQE Wall, Manhattan Bridge Anchorage on Adams Street, Manhattan Bridge Anchorage on Pearl Street",Brooklyn,Bridge,Projection,40.7030316036708,-73.9877219196519,11/10/2023,12/31/2023
Arterventions,2024,NYC Portal,Portals Organization,Flatiron NoMad Partnership,"Astor Place Plaza South, East 8th Street and Lafayette Street",Manhattan,Plaza,Interactive Sculpture,40.7416785097856,-73.9893091306485,05/08/2024,09/03/2024
Arterventions,2019,Humanimals,Marthalicia Matarrita,THE POINT Community Development Corporation,Hunts Point Avenue Metro North Overpass,Bronx,Bridge,Painted Panels,40.8198811587671,-73.8899121562809,12/13/2019,11/13/2020
Arterventions,2021,Magic Hour,Steed Taylor,Garment District Alliance,Broadway between 39th Street and 40th Street,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.7537248044477,-73.987051659833,07/26/2021,06/26/2022
Asphalt Art Activations,2020,Freestyle: Radical Joy,Almond Zigmund,NYC DOT,Macombs Road and University Avenue,Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.8495649646187,-73.9160685769216,10/26/2020,
Arterventions,2022,I am a Stranger and I am Moving,Rodrigo Hernandez,Swiss Institute,Astor Place Plaza North at East 8th Street between 4th Avenue and Lafayette Street,Manhattan,Plaza,Vinyl,40.7301055114516,-73.990707669388,06/23/2022,
Asphalt Art Activations,2021,Unity,Britny Lizet,Jerome Gunhill BID,Jerome Avenue and East Gun Hill Road,Bronx,Street Seat,Asphalt Mural,40.8829072966476,-73.8812521645733,06/01/2021,05/01/2022
Asphalt Art Activations,2025,De Lo Mio,Talisa Almonte,NYC DOT,Audubon Ave Plaza between 165th and 166th Streets,Manhattan,Plaza,Mural,40.8387682053279,-73.9396385211318,11/07/2025,
Arterventions,2024,Climate Week: The Burning World & Hudson Eye,Jeffrey Gibson,DUMBO BID,"Manhattan Bridge Anchorage at Pearl Street and Water Street, Manhattan Bridge Anchorage at Adams Street",Brooklyn,Bridge Wall,Projection,40.7030316036708,-73.9877219196519,09/23/2024,09/27/2024
Art Partners,2025,Water Game,Masaki Hanahara,DUMBO BID,Adams Street and Prospect Street,Brooklyn,Bridge Wall,Mural,40.7008032015787,-73.9887044627692,03/17/2025,
Community Commissions,2019,Vivid Chroma Locomotion,Queen Andrea,Projectivity Group,Richmond Avenue and Drumgoole Road W,Staten Island,Bridge Wall,Mural,40.5634971006492,-74.1697190541039,08/26/2019,07/26/2020
Arterventions,2024,Stories in Flight,Colleen Kong-Savage,Chinatown BID,"Doyers Street Plaza, Doyers Street between Pell Street and Bowery",Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.7144821572228,-73.9979431953437,09/09/2024,08/09/2025
Art Partners,2025,DUMBO Holiday Projections,Augenblick Studios,DUMBO BID,"Manhattan Bridge Anchorage at Pearl Street and Water Street, Manhattan Bridge Anchorage at Adams Street, Brooklyn-Queens Expressway wall",Brooklyn,Bridge Wall,Projection,40.7030316036708,-73.9877219196519,11/07/2025,01/01/2026
Asphalt Art Activations,2023,Conversation at Beverley Road,Misha Tyutyunik,NYC DOT Public Space Unit,Beverley Road,Brooklyn,Plaza,Asphalt Mural,40.6428565190482,-73.9786117745271,10/05/2023,09/05/2024
Barrier Beautification,2019,Strong/Soft like a Cliffrose,Cat Willett,NYC DOT,7th Avenue SB from 67th Street to 75th Street,Brooklyn,Jersey Barriers,Barrier Mural,40.6332761086955,-74.0165098898927,10/23/2019,09/23/2019
Arterventions,2023,Newkirk Cultural Bridge,Vaimoana Niumeitolu,Flatbush Development Corporation,Corrugated fences at Foster Avenue between Marlborough Road and East 16th Street,Brooklyn,Fence,Mural,40.6343109942163,-73.9626148755388,06/01/2023,05/01/2024
Arterventions,2021,2021 Holiday Tree Compilation,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,12/02/2021,12/31/2021
Arterventions,2023,Human Impacts Institute,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7030316036708,-73.9877219196519,04/22/2023,04/22/2023
Arterventions,2019,In/With Chelsea,"Lizania Cruz, Shannon Finnegan, Alicia Grullon, Betty Yu",Friends of the High Line,"20 street light poles along West 26th Street and West 34th Street on 9th Avenue, 10th Avenue and 11th Avenue",Manhattan,Pedestrian Street Light Pole,Signage,40.7497375878358,-74.0027664376066,10/02/2019,04/02/2020
Arterventions,2019,Street Cathedral,Claudia Ravaschiere and Michael Moss,Hudson Square BID,Varick Street Between Clarkson Street and Canal Street,Manhattan,Pedestrian Street Light Pole,Sculpture,40.7295151378107,-74.0052267118634,11/09/2019,05/09/2020
Asphalt Art Activations,2021,Rail Fence Runner (for Tompkinsville),Nathan Randall Green,The Angiuli Group,Victory Boulevard between Minthorne Street and Bay Street,Staten Island,Asphalt Pedestrian Space,Asphalt Mural,40.6379432449146,-74.075374535485,08/11/2021,07/11/2022
Arterventions,2023,Light Year 2023,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7030316036708,-73.9877219196519,01/05/2023,08/03/2023
Asphalt Art Activations,2021,Rice Terraces,Dasic Fernandez,The Chinatown Partnership,Doyers Street between Pell Street and Bowery,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.714365954853,-73.9979441897312,06/15/2021,05/15/2022
Community Commissions,2025,Aunties,Fitgi Saint-Louis,West Harlem Arts Fund,124th Street and Lenox Avenue,Manhattan,Median,Sculpture,40.8071922851922,-73.9461243442277,05/27/2025,04/27/2026
Barrier Beautification,2022,Barrier Reefs,Alison Brown Cynamon,NYC DOT Bike Unit,Jersey Barriers along Clinton Street between Delancey Street and South Street,Manhattan,Jersey Barriers,Mural,40.7173161720469,-73.9860203820394,06/21/2022,
Arterventions,2024,Black History + Heritage Corridor,Various Artists,GrowHouse NYC,"Flatbush Avenue between Eastern Parkway and Church Avenue, Church Avenue between Flatbush Avenue and Nostrand Avenue",Brooklyn,Pedestrian Street Light Pole,Signage,40.6602063567787,-73.9605849359895,07/19/2024,06/19/2025
Asphalt Art Activations,2019,Urban Playscape,Kim Carlino,NYC DOT,Alexander Avenue between 135th Street and 137th Street,Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.8083076939002,-73.9265137372863,09/29/2019,08/29/2020
Arterventions,2021,Interwoven,Atelier Cho Thompson,Flatiron NoMad Partnership + Van Alen Institute,Flatiron Plaza North on Broadway between 23rd Street and 24th Street,Manhattan,Plaza,Interactive,40.741643644636,-73.989228661972,11/18/2021,01/03/2022
Arterventions,2022,Light Year 2022,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7030316036708,-73.9877219196519,,
Arterventions,2019,Highbridge Flowers,Laura Alvarez,WHEDco (Women's Housing and Economic Development Corporation),168th Street Step Street (Between EL Grant Highway and Shakespeare Avenue),Bronx,Step Street,Mural,40.8380670266823,-73.9227812472905,08/15/2019,07/15/2020
Art Partners,2025,Spectrum,Mirari from QDSInternational,Flatiron NoMad Partnership,"Flatiron Plaza South, Broadway between 22nd Street and 23rd Street",Manhattan,Plaza,Interactive Sculpture,40.740970984557,-73.9895785514597,01/12/2025,03/01/2025
Arterventions,2019,Claremont Illuminated,Claremont Documentary Project Fellows,Bronx Documentary Center & the Mayor's Office on Criminal Justice,169th Step Street at WebsterStreet and 168th Step Street at Webster Street,Bronx,Step Street,Projection,40.8327686132303,-73.9110696058053,06/01/2019,06/01/2019
Community Commissions,2020,Mundillo/Little World,Samantha Holmes,Bronx River Art Center,"West Farms Square, E. Tremont Avenue & Boston Road",Bronx,Sidewalk,Sculpture,40.8414551678259,-73.8808063884736,10/05/2020,
Art Partners,2025,Big Rumi,Ghada Amer,Institute of Arab and Islamic Art,Ruth E. Wittenberg Triangle on 6th Avenue between W 8th Street and W 9th Street,Manhattan,Plaza,Sculpture,40.7339822,-74.002039,11/21/2025,03/27/2026
Arterventions,2021,Street Seat Mural,Taller KEN (Ines Guzman and Gregory Melitonov),"MetroTech Area District Management Association, Inc. + Alloy Development",Temple Square at Schermerhorn Street between Flatbush Avenue and Lafayette Avenue,Brooklyn,Street Seat,Asphalt Mural/Street Seat,40.6867986129778,-73.9799044976009,06/18/2021,05/18/2022
Arterventions,2021,Mundillo/Little World,Samantha Holmes,Columbus Amsterdam BID,W 97th Street and Amsterdam Avenue,Manhattan,Open Street (Blvd) Sidewalk,Sculpture,40.7948252881378,-73.9698592680696,09/14/2021,
Arterventions,2024,Holiday projections,Various Artists,DUMBO BID,"Manhattan Bridge Anchorage at Pearl Street and Water Street, Manhattan Bridge Anchorage at Adams Street",Brooklyn,Bridge Wall,Projection,40.7030316036708,-73.9877219196519,11/15/2024,12/31/2024
Arterventions,2020,Light Year,Various Artists,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,,
Arterventions,2024,Kicks,LeMonde Studio,Fordham Road BID,Grand Concourse and East Fordham Road,Bronx,Sidewalk,Interactive Sculpture,40.8626119389944,-33.2372387532656,07/24/2024,09/24/2024
Special Projects,2023,191st Street Tunnel Beautification Project,Daniel Bonilla,NYC DOT,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Tunnel,Mural,40.8565738222174,-73.9325673501386,09/23/2023,08/23/2024
Art Partners,2025,The Big Apple,LeMonde Studio,Columbus Amsterdam BID,97th Street and Columbus Ave,Manhattan,Sidewalk,Sculpture,40.793565,-73.9695988,07/10/2025,01/10/2026
Art Partners,2025,As Above So Below,Cara Lynch,Hudson Square BID,Varick Street Between Clarkson Street and Canal Street,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.7239843,-74.0061141,10/15/2025,
Art Partners,2025,Les Diamants,Perseides Studio from QDSInternational,Flatiron NoMad Partnership,"Flatiron Plaza North, Broadway between 23rd Street and 24th Street",Manhattan,Plaza,Interactive Sculpture,40.7416748726596,-73.9892761862456,01/12/2025,03/01/2025
Arterventions,2021,1000 Years of Joys And Sorrows,Ai Wei Wei,DUMBO BID,Manhattan Bridge Anchorage at Pearl Street and Water Street,Brooklyn,Bridge,Projection,40.7032673319851,-73.9875892918087,11/09/2021,
Arterventions,2019,On the Way to the Sea,Simone Couto & Ian Swanson,International Studio & Curatorial Programm,Newkirk Plaza at Newkirk Avenue between E 16th Street and Marlborough Road,Brooklyn,Bridge,Mural,40.6351032297499,-73.9628337404397,10/26/2019,09/26/2020
Arterventions,2021,Red Stage,Rashid Johnson,Creative Time,Astor Place Plaza on E 8th Street between Cooper Square and Lafayette Street,Manhattan,Plaza,Interactive,40.7300273362794,-73.99097532522,05/31/2021,07/06/2021
Art Partners,2025,"Crossing Steinway, Crossing Culture",Vanesa Alvarez,Steinway Astoria Partnership,Pedestrian spaces along Steinway Street between 31st Avenue and 34th Avenue,Queens,Asphalt Pedestrian Space,Asphalt Mural,40.7614526857059,-73.9171277865765,05/05/2025,04/05/2026
Arterventions,2021,Collective Vision,GERALUZ,Union Square Partnership,Pedestrianized asphalt space along the 14th Street Busway between Union Square West/University Place and Union Square East/4th Avenue,Manhattan,Asphalt Pedestrian Space,Asphalt Mural,40.7352320830476,-73.9917137628133,07/26/2021,06/26/2022
Arterventions,2022,Babel,Josephn Morris,DUMBO BID,Manhattan Bridge Anchorage,Brooklyn,Plaza,Sculpture,40.7030316036708,-73.9877219196519,09/26/2022,01/26/2023
Art Partners,2025,Seaside Strong,Camilla Morales and Ayushi Shriramwar,Living City Project and RISE,Rockaway Freeway between Beach 59th Street and Beach 60th Street,Queens,Asphalt Pedestrian Space,Asphalt Mural,,73.789426,05/23/2025,04/23/2026
Art Partners,2025,THE DUMBO PROJECTION PROJECT,Various Artists,DUMBO BID,"Manhattan Bridge Anchorage at Pearl Street and Water Street, Manhattan Bridge Anchorage at Adams Street, Brooklyn-Queens Expressway wall",Brooklyn,Bridge Wall,Projection,40.7030316036708,-73.9877219196519,03/04/2025,
Arterventions,2022,Ganymede with Jupiter's Eagle,Adam Parker Smith,"The Armory Show, Village Alliance, The Hole Gallery",Ruth E. Wittenberg Triangle on 6th Avenue between W 8th Street and W 9th Street,Manhattan,Triangle,Sculpture,40.7341487219487,-73.9994855469371,08/28/2022,01/15/2023
Arterventions,2024,Shaved Portions,Chakaia Booker,Garment District Alliance,Broadway between West 39th Street and West 40th Street,Manhattan,Plaza,Sculpture,40.7540264056757,-73.9870323583611,04/05/2024,03/01/2025
Arterventions,2023,Gathering Currents,Daniel Roberts,Second Ave Arts + Village Alliance,Ruth E. Wittenberg Triangle on 6th Avenue between W 8th Street and W 9th Street,Manhattan,Triangle,Sculpture,40.7341487219487,-73.9994855469371,05/19/2023,01/15/2024
Asphalt Art Activations,2021,Carpet Collage,Cara Lynch,PHNDC,Vanderbilt Avenue between Dean Street and Bergen Street,Brooklyn,Open Street (Blvd),Asphalt Mural,40.6802467973039,-73.9679750271056,07/31/2021,06/30/2022
Arterventions,2024,Crochet Circles,Ruth Marshall,Youth Ministries for Peace and Justice,Pedestrian space beneath the Bruckner Expressway on Bronx River,Bronx,Plaza,Intervention,40.8231717708417,-73.882780435262,07/14/2024,02/14/2025
Arterventions,2022,To Sit A While,Alison Saar,"Village Alliance, Lily Awards Foundation","Astor Place Plaza South, East 8th Street and Lafayette Street",Manhattan,Plaza,Sculpture,40.7299525601006,-73.9914408450536,09/30/2022,10/22/2022
Arterventions,2023,Delancey Street DOT Plazas,Ken Smith Workshop,Lower East Side Partnership,Delancey Street between Norfolk Street and Suffolk Street and Suffolk Street and Clinton Street,Manhattan,Plaza,Asphalt Mural,40.7180211384864,-73.9865779731486,08/23/2023,07/01/2024
Art Display Case Exhibits,2023,Reframing Neglect,Various Artists,The END Fund,Water Street between Wall Street and Pearl Street and Gouverneur Lane between Water Street and Front Street,Manhattan,Sidewalk,Art Display Cases,40.7053225417399,-74.0074102236538,06/05/2023,12/05/2023
Asphalt Art Activations,2022,The Smile,BOICUT,NYC  DOT School Safety,Intersection of Macombs Road and University Avenue,Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.8496054975014,-73.9163011774511,05/07/2022,
Special Projects,2024,NYC Art Stop Letters,Yukiko Izumi,NYC DOT,"Vernon Boulevard, from 44th Drive to 30th Road, Broadway between Richmond Terrace and Clove, Lafayette Street and Park Avenue to 109th Street, Central Park North from Fifth Avenue to Adam Clayton Powell Boulevard, Adam Clayton Powell Boulevard from 110th",All boroughs,Car-Free Event,Sculpture,,,07/27/2024,08/24/2024
Arterventions,2021,Hidden Heroes: Kensington,Anna and Jordan Rathkopf,Photoville + Arts & Democracy,Avenue C Plaza at Avenue C and MacDonald Avenue,Brooklyn,Plaza,Sculpture/Photography,40.6407043430799,-73.9790734166209,06/24/2021,12/24/2021
Arterventions,2021,Prismatica,RAW Design,Garment District Alliance,Broadway between 39th Street and 40th Street,Manhattan,Plaza,interactive installation,40.7538396219284,-73.9869345433857,,
Arterventions,2023,CONTROL NO CONTROL,Iregular,Flatiron NoMad Partnership,Flatiron Plaza North on Broadway between 23rd Street and 24th Street,Manhattan,Plaza,interactive installation,40.7416748726596,-73.9892761862456,11/30/2023,01/01/2024
Arterventions,2019,Heritage I & II,Apolo Torres,DUMBO BID,"BQE Wall, Pearl Street Tunnel between Prospect Street and York Street",Brooklyn,Bridge,Mural,40.7008892892988,-73.9877871081411,07/16/2019,06/16/2020
Asphalt Art Activations,2023,Our Star: Shoegaze BX,Nathan Green,"NYC DOT Research, Implementation and Safety (RIS)",Westchester Avenue between Hobart Avenue and Edison Avenue,Bronx,Asphalt Pedestrian Space,Asphalt Mural,40.8478970223025,-73.8314855350324,07/10/2023,06/10/2024
Arterventions,2021,Murals for the Movement: Standing in the Gap,Sophia Dawson,DUMBO BID and Street Theory Gallery,Front Street between Adams Street and Pearl Street,Brooklyn,Bridge,Mural,40.7026270133182,-73.988534808403,10/27/2021,
Art Display Case Exhibits,2020,Global Climate sHeroes,Bolanle Adeboye,Human Impacts Institute,Water Street between Wall Street and Pearl Street and Gouverneur Lane between Water Street and Front Street,Manhattan,Sidewalk,Art Display Cases,40.7052656095096,-74.0074316836142,03/01/2020,
Arterventions,2019,Nymph  Pond,Carla Torres,Garment District Alliance,Broadway between 37th Street and 38th Street,Manhattan,Seasonal Street,Asphalt Mural,40.7523397938808,-73.9875581518998,06/25/2019,08/31/2019
Special Projects,2025,Friends & Follies,Mookntaka,NYC DOT,"Elizabeth Street Rest Stop on Forrest Avenue, Mosholu Parkway Rest Stop on Grand Concourse, Lincoln Terrace Rest Stop on Eastern Parkway & Buffalo Avenue, and 30th Drive Rest Stop on Vernon Boulevard","Queens, Staten Island, Bronx, and Brooklyn",Sidewalk,Interactive Sculpture,,,07/26/2025,08/23/2025
Arterventions,2021,We Are the World,Mauricio Arenas,Long Island City Partnersip,Pedestrian Walkway on the Thomson Avenue Bridge between Skillman Avenue and Jackson Avenue,Queens,Bridge,Mural,40.7032673319851,-73.9875892918087,10/15/2021,08/13/2022
